index;title;googleDriveId;releaseYear;size;remotePath
39;Date with Destiny;1NugGz7u5Ags6uEy-iDx0f92WOeFMH3mS;2004;2534620;comics/oots0039.html
40;The Gods Must be Busy;1agsPJ4spao8r15ADV_wBTEiQjf-C9pSP;2004;2461241;comics/oots0040.html
41;Just Take the AoO;1F9nxrEPc5ZpcNA8LKdvw8jS7i9Pr9n_O;2004;2480528;comics/oots0041.html
42;Belkar Unleashed;1mctG1Gjsh2LeKNitW59FaVq79d1pGiGv;2004;1687009;comics/oots0042.html
43;What's Behind Door #2?;1j7GudJJSxubbhzr4S2V-a8aZBTi9Cfcf;2004;2592067;comics/oots0043.html
44;Meet the Linear Guild;1fH3q9jSvCoxMozaSV4Qc3l3MZ8J50XKo;2004;2675645;comics/oots0044.html
45;Strength in Numbers;1O7tR8Q6OeBf2HeaGn4AgJE52Uy8RnhsJ;2004;2694390;comics/oots0045.html
46;Deep Thoughts;1cAlh8RtfoqfR_r1PVeeqwQJTrodD3P4O;2004;2626250;comics/oots0046.html
47;But is it High Definition?;1Vq6JX8dlCwIpx58MhZRpuJIl15DsFr0k;2004;2910546;comics/oots0047.html
48;Stab of Opportunity;1gYKpbd9cCfv3Uy8aL23gsQE9Wk4OqKDc;2004;2154115;comics/oots0048.html
49;Collect the Whole Set;1zJfpmpueC8mjQUhrmuWfWfBxNtDNZFvp;2004;2378952;comics/oots0049.html
50;The Semi-Secret Origin of Elan & Nale;1UYCYBXGbdSl98P79LXyMx24fpemE0z7k;2004;4337132;comics/oots0050.html
51;Stupid Isn't Always Cute;1xFIH41zIuP-v4PXqhNFD-5r1Nm2EJn0D;2004;2379845;comics/oots0051.html
52;Young Dwarves in Love;1W8N1-g1nBJtIGxZT-RdosCgmZWk5jXwe;2004;2919722;comics/oots0052.html
53;See, They're Flying, Because It's an Air Sigil;1zuEza60dbSaHiHoQ-tTaw55QCowXZFuH;2004;2615885;comics/oots0053.html
